Item_Name,Item_Description,Item_Price,Must_Try
Soya Angaar Chaap {10pcs},Soya chaap marinated in a blend of spices coated with butter-roasted flour chargrilled ,₹390,False
Paneer Pudina Tikka {8 pcs},Sigri grilled shashlik of cottage cheese green peppers tomatoes and pineapple marinated in ,₹350,False
Burhani Raita [250g],A unique raita made with yoghurt garlic yellow chilli and cumin powder. Tempered ,₹90,False
Papaya Pickle [250g],,₹150,False
Garlic Pickle [250g],,₹150,False
Steamed Basmati Rice {300g},Basmati rice cooked to perfection flavoured with ghee.,₹120,False
Coconut Phirni with Mango Compote,A take on a classic phirni made with coconut mix cashew and topped ,₹150,False
Chocolate Mousse with Strawberry Srikhand,A silky chocolate mousse paired with a classic srikhand and flavoured with fresh ,₹150,False
Roomali Roti,A paper thin bread made from whole wheat flour.,₹75,False
Laccha Paratha,A layered whole wheat bread cooked in a tandoor.,₹75,False
Pudina Paratha,A layered whole wheat bread cooked in a tandoor and sprinkled with dried ,₹75,False
Khamiri Roti,A delicate bread made from fermented wheat flour and milk.,₹75,False
Tandoori Roti,A whole wheat bread cooked in a tandoor.,₹75,False
Naan,A classic refined flour bread cooked in a tandoor.,₹75,False
Garlic Naan,A classic refined flour bread with chopped garlic and coriander cooked in a ,₹75,False
Butter Naan,A classic refined flour bread cooked in a tandoor and smothered in butter.,₹75,False
Nihari Combo - 2,Nihari {550g} + Khamiri Roti {4 pcs} +Chocolate Mousse with Strawberry Srikhand OR ,₹900,False
Haleem Combo - 2,Haleem {500 g}+ Kharmiri Roti {4 pcs} + Chocolate Mousse with Strawberry Srikhand ,₹950,False
Paneer Makhani Combo - 4,Paneer Makhani (1000g) + Choice Of Bread (8 pcs) + Choice Of Dessert ,₹1250,False
Dal Makhani Combo - 4,24-Hour Dal Makhani (1000g) + Soya Angaar Chaap (200g) + Choice Of Bread ,₹1250,False
Kashmiri Subz biryani Combo - 4,Kashmiri Subz Biryani (1200g) + Burhani Raita (250g) + Choice Of Dessert (100g ,₹1250,False
Butter Chicken Combo - 4,Butter Chicken (1000g) + Choice Of bread (8 pcs) + Choice Of Dessert ,₹1450,False
Murgh Biryani Combo 4,Murgh Kachi Biryani [1.2 kg]+Burhani Raita [250 grams]+Choice of Dessert [100g x4],₹1450,False
Plain Lassi {350 ml},A classic sweet lassi perfect to cool down the heat.,₹120,False
Mango Ginger Lassi {350 ml},A perfect combination of mango and ginger with sweet yoghurt.,₹120,False
S.Pellegrino [250 ml],,₹180,False
Evian [330 ml],,₹160,False
Coke [300ml],,₹60,False
Fanta [300ml],,₹60,False
Diet Coke [300ml],,₹60,False
Sprite [300ml],,₹60,False
